Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
hv,60451822,1,"Tuesday, February 19, 2013 03:21:55 UTC",19.3908,-155.3432,1.9,0.10,11,"Island of Hawaii, Hawaii"
us,c000f9zg,4,"Tuesday, February 19, 2013 03:09:14 UTC",-10.8909,164.5127,4.7,53.40,21,"Santa Cruz Islands region"
ci,11246578,0,"Tuesday, February 19, 2013 03:08:22 UTC",33.3407,-116.3208,1.4,16.40,35,"Southern California"
ci,11246570,0,"Tuesday, February 19, 2013 03:04:29 UTC",33.3348,-116.3230,1.4,14.00,74,"Southern California"
ci,11246554,0,"Tuesday, February 19, 2013 03:03:18 UTC",33.3322,-116.2972,1.4,16.60,63,"Southern California"
ak,10658255,1,"Tuesday, February 19, 2013 02:54:09 UTC",60.6902,-151.8433,1.9,24.40, 5,"Kenai Peninsula, Alaska"
us,c000f9z8,5,"Tuesday, February 19, 2013 02:47:01 UTC",27.1738,103.0137,4.9,9.60,85,"Sichuan-Yunnan-Guizhou region, China"
nn,00403674,9,"Tuesday, February 19, 2013 02:40:59 UTC",36.7117,-115.6460,1.1,10.60,18,"Nevada"
hv,60451807,1,"Tuesday, February 19, 2013 02:37:46 UTC",19.5445,-155.9080,1.9,23.10,11,"Island of Hawaii, Hawaii"
ak,10658041,2,"Tuesday, February 19, 2013 01:53:24 UTC",59.0816,-136.4891,1.6,5.00,14,"Southeastern Alaska"
ci,11246514,0,"Tuesday, February 19, 2013 01:37:20 UTC",33.1720,-115.6328,1.1,2.80,15,"Southern California"
ak,10657992,2,"Tuesday, February 19, 2013 01:25:01 UTC",51.1813,-176.2042,2.4,15.10,12,"Andreanof Islands, Aleutian Islands, Alaska"
nc,71940090,1,"Tuesday, February 19, 2013 01:16:07 UTC",35.9998,-120.5627,1.8,3.00,24,"Central California"
nc,71940085,1,"Tuesday, February 19, 2013 01:14:01 UTC",35.9997,-120.5638,1.8,2.90,24,"Central California"
nc,71940075,0,"Tuesday, February 19, 2013 00:31:56 UTC",38.7580,-122.7002,1.0,2.80,14,"Northern California"
ci,11246490,0,"Tuesday, February 19, 2013 00:11:55 UTC",35.9330,-117.6460,1.0,3.70,18,"Central California"
ak,10657982,2,"Tuesday, February 19, 2013 00:10:36 UTC",50.7104,-175.1299,2.9,7.50,17,"Andreanof Islands, Aleutian Islands, Alaska"
uw,60506981,1,"Tuesday, February 19, 2013 00:06:14 UTC",42.5963,-125.5705,2.2,8.90,14,"offshore Oregon"
ak,10657978,1,"Tuesday, February 19, 2013 00:01:03 UTC",64.9998,-147.4402,1.4,0.20,13,"northern Alaska"
ci,11246482,0,"Monday, February 18, 2013 23:53:37 UTC",34.2645,-116.4315,1.4,6.80,36,"Southern California"
ci,11246474,0,"Monday, February 18, 2013 23:53:12 UTC",33.5803,-116.7143,1.0,14.40,35,"Southern California"
ci,11246450,0,"Monday, February 18, 2013 23:40:31 UTC",33.1563,-115.6072,1.2,0.10,13,"Southern California"
ci,11246434,0,"Monday, February 18, 2013 23:10:04 UTC",34.3288,-116.9390,1.4,0.00,34,"Southern California"
ci,11246426,0,"Monday, February 18, 2013 23:08:23 UTC",33.4065,-116.3317,1.2,15.00,56,"Southern California"
us,c000f9vp,8,"Monday, February 18, 2013 21:24:15 UTC",40.0328,77.7290,4.6,17.20,60,"southern Xinjiang, China"
nc,71939995,1,"Monday, February 18, 2013 21:21:15 UTC",38.7915,-122.7473,1.8,1.40,25,"Northern California"
nc,71939985,2,"Monday, February 18, 2013 20:43:31 UTC",39.3712,-122.8707,1.8,9.00,30,"Northern California"
nc,71939960,0,"Monday, February 18, 2013 20:20:38 UTC",38.8155,-122.8052,1.0,1.90,13,"Northern California"
ci,11246378,0,"Monday, February 18, 2013 19:38:59 UTC",35.0480,-117.6765,1.5,0.10,21,"Southern California"
uw,60506956,2,"Monday, February 18, 2013 19:23:20 UTC",41.9467,-122.0590,1.5,22.70, 7,"Northern California"
nc,71939930,2,"Monday, February 18, 2013 19:09:00 UTC",36.7763,-121.2920,1.4,7.60,22,"Central California"
ak,10657921,1,"Monday, February 18, 2013 19:00:57 UTC",60.9462,-147.0895,2.2,21.50,19,"Southern Alaska"
ci,11246362,0,"Monday, February 18, 2013 18:51:15 UTC",33.2822,-116.7817,1.7,12.80,88,"Southern California"
ci,11246354,0,"Monday, February 18, 2013 18:38:26 UTC",33.8660,-116.5583,1.2,4.60,11,"Southern California"
nc,71939910,0,"Monday, February 18, 2013 18:17:53 UTC",38.7873,-122.7623,1.0,1.00,13,"Northern California"
uw,60506941,2,"Monday, February 18, 2013 18:17:27 UTC",45.3010,-121.7457,1.3,7.50,12,"Mount Hood area, Oregon"
ak,10657905,1,"Monday, February 18, 2013 18:13:31 UTC",61.4184,-146.6621,1.7,15.20, 6,"Southern Alaska"
nn,00403586,9,"Monday, February 18, 2013 18:13:25 UTC",37.9106,-114.4116,2.7,1.20, 6,"Nevada"
nn,00403580,9,"Monday, February 18, 2013 17:30:56 UTC",38.0415,-118.0348,1.7,7.00,11,"Nevada"
ci,11246314,0,"Monday, February 18, 2013 17:10:09 UTC",34.1597,-116.4318,1.2,9.80,33,"Southern California"
uw,60506931,1,"Monday, February 18, 2013 16:59:56 UTC",43.7293,-121.3203,1.0,0.00, 9,"Newberry Caldera area, Oregon"
nc,71939860,3,"Monday, February 18, 2013 16:54:07 UTC",37.5402,-118.8177,1.7,7.60,40,"Central California"
us,c000f9ra,I,"Monday, February 18, 2013 16:32:51 UTC",-30.6825,-178.1679,5.6,83.50,345,"Kermadec Islands, New Zealand"
nc,71939840,5,"Monday, February 18, 2013 16:25:57 UTC",37.6355,-118.9583,1.6,7.70,46,"Long Valley area, California"
ci,11246282,0,"Monday, February 18, 2013 16:22:13 UTC",34.1073,-116.6150,1.4,8.00,32,"Southern California"
