Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ci,11245306,0,"Saturday, February 16, 2013 08:49:06 UTC",35.4497,-118.3492,1.6,4.70,53,"Central California"
ak,10657067,1,"Saturday, February 16, 2013 08:48:53 UTC",59.0948,-151.1681,2.5,40.00,13,"Kenai Peninsula, Alaska"
hv,60450527,1,"Saturday, February 16, 2013 08:37:02 UTC",19.3270,-155.2203,1.9,6.20,21,"Island of Hawaii, Hawaii"
nn,00403344,9,"Saturday, February 16, 2013 08:28:05 UTC",38.0290,-118.0588,1.7,7.30,23,"Nevada"
nm,021613a,A,"Saturday, February 16, 2013 08:23:42 UTC",35.6848,-93.0275,2.0,12.70,11,"Arkansas"
nn,00403342,9,"Saturday, February 16, 2013 07:55:09 UTC",38.0177,-118.0757,1.6,6.80,20,"Nevada"
us,c000f8f1,B,"Saturday, February 16, 2013 07:53:31 UTC",28.1595,128.0397,4.4,123.70,84,"Ryukyu Islands, Japan"
nn,00403341,9,"Saturday, February 16, 2013 07:50:49 UTC",38.0212,-118.0658,1.9,11.60,35,"Nevada"
ci,11245274,0,"Saturday, February 16, 2013 07:24:33 UTC",33.6577,-116.7148,1.3,24.30,32,"Southern California"
nc,71938440,3,"Saturday, February 16, 2013 07:20:14 UTC",37.4592,-118.9178,1.8,11.90,45,"Central California"
nc,71938435,4,"Saturday, February 16, 2013 07:12:23 UTC",36.6078,-121.1140,1.1,7.90,18,"Central California"
us,c000f8e1,8,"Saturday, February 16, 2013 06:59:26 UTC",10.4933,-86.0693,4.4,47.50,101,"off the coast of Costa Rica"
nc,71938425,0,"Saturday, February 16, 2013 06:56:34 UTC",36.5750,-121.1628,1.5,3.60, 8,"Central California"
ci,11245250,0,"Saturday, February 16, 2013 06:09:55 UTC",36.6025,-118.0733,2.2,0.80,29,"Central California"
nc,71938375,1,"Saturday, February 16, 2013 05:37:36 UTC",38.7622,-122.7063,2.0,2.30,29,"Northern California"
nn,00403334,9,"Saturday, February 16, 2013 05:37:26 UTC",38.0292,-118.0472,2.0,6.60,37,"Nevada"
nc,71938355,0,"Saturday, February 16, 2013 05:17:37 UTC",38.7882,-122.7342,1.0,2.20,20,"Northern California"
us,c000f8cd,G,"Saturday, February 16, 2013 05:16:16 UTC",-36.0819,177.9294,5.7,190.30,520,"off the east coast of the North Island of New Zealand"
nn,00403329,9,"Saturday, February 16, 2013 05:05:47 UTC",38.0238,-118.0637,1.1,12.60,11,"Nevada"
nc,71938345,3,"Saturday, February 16, 2013 04:48:01 UTC",39.5475,-122.6957,2.5,6.00,40,"Northern California"
ci,11245194,0,"Saturday, February 16, 2013 04:40:01 UTC",32.8612,-116.2865,1.7,41.30,22,"Southern California"
ci,11245186,0,"Saturday, February 16, 2013 04:38:16 UTC",35.4260,-118.4667,1.2,6.50,22,"Central California"
us,c000f8be,A,"Saturday, February 16, 2013 04:37:36 UTC",5.7587,125.8378,6.2,98.20,238,"Mindanao, Philippines"
pr,13047002,0,"Saturday, February 16, 2013 04:23:05 UTC",17.9491,-66.0603,2.6,24.00, 5,"Puerto Rico region"
nc,71938340,0,"Saturday, February 16, 2013 03:46:54 UTC",38.7543,-122.7180,1.2,2.00,18,"Northern California"
pr,13047001,0,"Saturday, February 16, 2013 03:40:41 UTC",19.7280,-64.2740,3.3,13.00, 7,"Virgin Islands region"
